순번,의료기관명,의료기관주소(도로명),전화번호,병상수,CT,MRI
1,JS메디칼내과외과정형외과의원,"충청남도 천안시 서북구 불당26로 50,504동 303호 (불당동,천안불당지웰시티푸르지오 2단지)",041-589-7575,29,O,X
2,하나메디칼의원,"충청남도 천안시 서북구 불당25로 8, 301동 1301호 (불당동, 불당호반써밋플레이스 센터시티)",041-578-6666,20,O,O
3,삼성스마트김석재신경과의원,"충청남도 천안시 서북구 불당21로 67-8, 5층 503호 (불당동)",041-417-7507,3,O,O
4,라팡산부인과의원,"충청남도 천안시 서북구 불당21로 67-18, 5층 502호 (불당동)",041-567-7575,2,X,O
5,맑은이비인후과의원,"충청남도 천안시 서북구 불당21로 67-26, 2층 201,202,203호 (불당동)",041-522-7553,2,O,O
6,수연산부인과의원,"충청남도 천안시 서북구 성정중7길 3, 4층 (성정동)",041-621-5501,2,O,O
7,오리진성형외과의원,"충청남도 천안시 서북구 공원로 219, 2층 214~221호 (불당동)",041-561-1135,1,O,O
8,연세의원,충청남도 천안시 서북구 성환읍 성환12길 46,041-581-5756,4,X,O
9,돋움병원,충청남도 천안시 서북구 동서대로 110-23 (성정동),041-415-2222,100,X,O
10,메디그린한방병원,"충청남도 천안시 서북구 번영로 201, 5층 (불당동)",1577-2357,36,O,X
11,귀엔서울이비인후과의원,"충청남도 천안시 서북구 번영로 100, 6층(불당동)",041-414-9275,2,O,O
12,베스트심장혈관흉부외과의원,"충청남도 천안시 동남구 서부대로 285, 4층 401.402호 (신방동)",041-577-6119,2,O,O
13,청당드림여성의원,"충청남도 천안시 동남구 청수11로 11, 6층 (청당동)",041-417-5400,2,O,O
14,서울성모이비인후과의원,"충청남도 천안시 동남구 만남로 26, 3층 301호 (신부동)",041-902-7577,3,O,O
15,늘봄안과의원,"충청남도 천안시 동남구 청수11로 11, 5층 (청당동)",041-417-6300,1,O,O
16,서울삼성의원,"충청남도 천안시 동남구 만남로 64, 3층 301호 (신부동)",041-418-5005,2,X,O
17,김교수안과의원,"충청남도 천안시 동남구 만남로 64, 2층 202,203호 (신부동)",041-417-4040,8,O,O
18,오름정형외과의원,"충청남도 천안시 동남구 만남로 6, CARAT21 6층 6001~6004호 (신부동)",041-558-0528,1,O,O
19,에스앤유서울비뇨의학과의원,"충청남도 천안시 동남구 만남로 40, 5층 (신부동)",041-414-1752,1,O,X
20,민상혁기둥정형외과의원,"충청남도 천안시 동남구 만남로 90, 2~5층 (신부동)",041-415-1100,22,O,X
21,트루맨남성의원,"충청남도 천안시 동남구 만남로 36 (신부동, 광동빌딩)",041-555-3690,1,X,O
22,미소래이비인후과의원,"충청남도 천안시 동남구 청수11로 11, 4층 (청당동)",041-562-8575,1,X,O
23,천안나안과의원,"충청남도 천안시 동남구 충절로 23-1, 3,4,5층 (신부동)",041-563-3551,12,X,O
